corr,rt,block_type,trial_type
1.0,0.4855,step1,practice
1.0,0.4983,step1,practice
1.0,0.437,step1,practice
1.0,0.8268,step1,practice
1.0,0.4079,step1,practice
1.0,0.3814,step1,practice
1.0,0.4401,step1,practice
1.0,0.7088,step1,practice
1.0,0.4898,step1,practice
1.0,0.7043,step1,practice
1.0,0.3882,step1,practice
1.0,0.5195,step1,practice
1.0,0.4428,step1,practice
1.0,0.5135,step1,practice
1.0,0.4054,step1,practice
1.0,0.4012,step1,practice
1.0,0.3784,step1,practice
1.0,0.407,step1,practice
1.0,0.4644,step1,practice
1.0,0.5658,step1,practice
1.0,0.4074,step2,practice
1.0,0.5499,step2,practice
1.0,0.5693,step2,practice
1.0,0.4835,step2,practice
1.0,0.8333,step2,practice
1.0,0.4259,step2,practice
1.0,0.5249,step2,practice
1.0,0.5002,step2,practice
1.0,0.6501,step2,practice
1.0,0.5625,step2,practice
1.0,0.4493,step2,practice
1.0,0.6671,step2,practice
1.0,0.4937,step2,practice
1.0,0.4422,step2,practice
0.0,0.6425,step2,practice
1.0,0.4266,step2,practice
1.0,0.4333,step2,practice
1.0,0.4405,step2,practice
1.0,0.4828,step2,practice
1.0,0.4838,step2,practice
1.0,0.4362,step3,practice
1.0,0.4543,step3,practice
1.0,0.4777,step3,practice
1.0,0.4997,step3,practice
1.0,0.517,step3,practice
1.0,0.5332,step3,practice
1.0,0.6036,step3,practice
1.0,0.4502,step3,practice
1.0,0.4863,step3,practice
1.0,0.5669,step3,practice
1.0,0.4833,step3,practice
0.0,0.5109,step3,practice
1.0,0.5571,step3,practice
1.0,0.3998,step3,practice
1.0,0.4394,step3,practice
1.0,0.4663,step3,practice
1.0,0.4691,step3,practice
1.0,0.4537,step3,practice
1.0,0.4422,step3,practice
1.0,0.4501,step3,practice
1.0,0.5879,step3,test
1.0,0.4668,step3,test
1.0,0.4687,step3,test
1.0,0.4434,step3,test
1.0,0.4167,step3,test
1.0,0.4,step3,test
1.0,0.467,step3,test
0.0,0.4338,step3,test
0.0,0.1338,step3,test
1.0,0.0924,step3,test
1.0,0.4753,step3,test
1.0,0.6082,step3,test
1.0,0.5526,step3,test
1.0,0.4371,step3,test
1.0,0.5585,step3,test
1.0,0.4587,step3,test
1.0,0.4535,step3,test
1.0,0.4342,step3,test
1.0,0.7434,step3,test
1.0,0.5692,step3,test
1.0,0.4576,step3,test
1.0,0.4004,step3,test
1.0,0.4005,step3,test
1.0,0.4344,step3,test
1.0,0.4516,step3,test
1.0,0.4339,step3,test
1.0,0.5281,step3,test
1.0,0.4862,step3,test
1.0,0.4501,step3,test
1.0,0.4834,step3,test
1.0,0.5163,step3,test
1.0,0.4836,step3,test
1.0,0.5926,step3,test
1.0,0.5831,step3,test
1.0,0.5996,step3,test
1.0,0.4442,step3,test
1.0,0.4165,step3,test
1.0,0.5369,step3,test
1.0,0.4697,step3,test
1.0,0.4343,step3,test
0.0,0.9028,step4,practice
1.0,0.7287,step4,practice
1.0,0.5506,step4,practice
1.0,0.4763,step4,practice
1.0,0.6502,step4,practice
1.0,0.5946,step4,practice
1.0,0.5669,step4,practice
1.0,0.4831,step4,practice
1.0,0.412,step4,practice
1.0,0.5101,step4,practice
1.0,0.5271,step4,practice
1.0,0.467,step4,practice
1.0,0.4829,step4,practice
1.0,0.3996,step4,practice
1.0,0.4881,step4,practice
1.0,0.4701,step4,practice
1.0,0.4512,step4,practice
1.0,0.4339,step4,practice
1.0,0.4784,step4,practice
1.0,0.5667,step4,practice
0.0,0.5556,step5,practice
0.0,0.0428,step5,practice
1.0,0.8334,step5,practice
0.0,1.0877,step5,practice
1.0,1.026,step5,practice
1.0,0.5013,step5,practice
0.0,0.4924,step5,practice
0.0,0.5881,step5,practice
1.0,0.604,step5,practice
1.0,0.7394,step5,practice
1.0,0.9278,step5,practice
1.0,0.5345,step5,practice
1.0,0.5009,step5,practice
1.0,0.5128,step5,practice
1.0,0.5253,step5,practice
1.0,0.5355,step5,practice
0.0,0.8057,step5,practice
0.0,0.8342,step5,practice
1.0,0.6088,step5,practice
0.0,0.5343,step5,practice
1.0,0.6791,step5,test
1.0,0.6511,step5,test
1.0,0.6006,step5,test
1.0,0.6332,step5,test
1.0,0.7379,step5,test
1.0,0.6006,step5,test
1.0,0.6025,step5,test
1.0,0.8784,step5,test
1.0,0.7004,step5,test
1.0,0.6341,step5,test
1.0,0.5514,step5,test
1.0,0.4952,step5,test
1.0,0.5078,step5,test
1.0,0.406,step5,test
1.0,0.5172,step5,test
1.0,0.7734,step5,test
1.0,0.4523,step5,test
1.0,0.4838,step5,test
1.0,0.4864,step5,test
1.0,0.5674,step5,test
1.0,0.6902,step5,test
1.0,0.4838,step5,test
1.0,0.6391,step5,test
1.0,0.5557,step5,test
1.0,0.6518,step5,test
1.0,1.0334,step5,test
0.0,0.471,step5,test
1.0,0.6562,step5,test
1.0,0.9496,step5,test
1.0,0.7916,step5,test
1.0,0.9082,step5,test
1.0,0.9004,step5,test
1.0,0.5937,step5,test
1.0,0.818,step5,test
1.0,0.5911,step5,test
1.0,0.4833,step5,test
1.0,0.4405,step5,test
1.0,0.6505,step5,test
1.0,0.6844,step5,test
1.0,0.8833,step5,test
