corr,rt,block_type,trial_type
1.0,0.6179,step1,practice
1.0,0.6022,step1,practice
1.0,0.4333,step1,practice
1.0,0.5082,step1,practice
1.0,0.4923,step1,practice
1.0,0.6174,step1,practice
1.0,0.708,step1,practice
1.0,0.619,step1,practice
1.0,0.6504,step1,practice
1.0,0.5826,step1,practice
1.0,0.4825,step1,practice
1.0,0.4837,step1,practice
1.0,0.5175,step1,practice
1.0,0.6043,step1,practice
1.0,0.6174,step1,practice
1.0,0.6345,step1,practice
1.0,0.6682,step1,practice
1.0,0.6244,step1,practice
1.0,0.7241,step1,practice
1.0,0.5768,step1,practice
1.0,0.6007,step2,practice
1.0,0.4702,step2,practice
1.0,0.5657,step2,practice
1.0,0.4873,step2,practice
1.0,0.4428,step2,practice
1.0,0.5657,step2,practice
1.0,0.5351,step2,practice
1.0,0.4839,step2,practice
1.0,0.533,step2,practice
0.0,0.5335,step2,practice
1.0,0.7673,step2,practice
1.0,0.5684,step2,practice
1.0,0.5994,step2,practice
1.0,0.7503,step2,practice
1.0,0.7589,step2,practice
0.0,0.517,step2,practice
1.0,0.6057,step2,practice
1.0,0.706,step2,practice
0.0,0.5693,step2,practice
1.0,0.5577,step2,practice
1.0,0.5772,step3,practice
1.0,0.5575,step3,practice
1.0,0.5558,step3,practice
1.0,0.4871,step3,practice
1.0,0.6999,step3,practice
1.0,0.5548,step3,practice
1.0,0.5166,step3,practice
1.0,0.7175,step3,practice
1.0,0.805,step3,practice
1.0,0.571,step3,practice
1.0,0.9686,step3,practice
1.0,0.6373,step3,practice
1.0,0.6676,step3,practice
1.0,0.583,step3,practice
1.0,0.8833,step3,practice
1.0,0.5591,step3,practice
1.0,0.527,step3,practice
1.0,0.7378,step3,practice
1.0,0.5985,step3,practice
1.0,0.8043,step3,practice
1.0,0.551,step3,test
1.0,0.5518,step3,test
0.0,0.6209,step3,test
1.0,0.7269,step3,test
0.0,0.9335,step3,test
1.0,0.9329,step3,test
1.0,0.5393,step3,test
1.0,0.5195,step3,test
1.0,0.5257,step3,test
1.0,0.6605,step3,test
1.0,0.7509,step3,test
1.0,0.5166,step3,test
0.0,0.7187,step3,test
1.0,0.5836,step3,test
1.0,0.7173,step3,test
1.0,0.9917,step3,test
1.0,0.9068,step3,test
1.0,1.2,step3,test
0.0,0.8677,step3,test
1.0,0.6024,step3,test
1.0,0.5996,step3,test
1.0,0.6181,step3,test
1.0,0.5199,step3,test
1.0,0.5495,step3,test
1.0,0.4012,step3,test
1.0,0.568,step3,test
1.0,0.6606,step3,test
1.0,0.57,step3,test
1.0,0.5837,step3,test
1.0,0.5838,step3,test
1.0,0.5672,step3,test
1.0,0.4596,step3,test
1.0,0.508,step3,test
1.0,0.5792,step3,test
1.0,0.6352,step3,test
1.0,0.6081,step3,test
1.0,0.5208,step3,test
1.0,0.5762,step3,test
1.0,0.8381,step3,test
1.0,0.7735,step3,test
1.0,0.6653,step4,practice
1.0,0.5523,step4,practice
1.0,0.642,step4,practice
1.0,0.5071,step4,practice
1.0,0.5382,step4,practice
1.0,0.4239,step4,practice
1.0,0.4593,step4,practice
1.0,0.4712,step4,practice
1.0,0.5745,step4,practice
1.0,0.6177,step4,practice
1.0,0.6921,step4,practice
1.0,0.8392,step4,practice
1.0,0.5226,step4,practice
1.0,1.1931,step4,practice
1.0,0.4365,step4,practice
1.0,0.4907,step4,practice
1.0,0.4961,step4,practice
1.0,0.4908,step4,practice
1.0,0.4014,step4,practice
1.0,0.6198,step4,practice
0.0,0.908,step5,practice
1.0,1.4751,step5,practice
1.0,0.7046,step5,practice
1.0,0.6896,step5,practice
1.0,1.0683,step5,practice
1.0,1.317,step5,practice
1.0,1.4346,step5,practice
1.0,0.5409,step5,practice
1.0,1.1883,step5,practice
1.0,0.7045,step5,practice
1.0,0.5512,step5,practice
1.0,0.7007,step5,practice
0.0,0.9902,step5,practice
1.0,1.1834,step5,practice
1.0,0.8586,step5,practice
1.0,0.6443,step5,practice
1.0,0.5817,step5,practice
0.0,0.667,step5,practice
1.0,0.7685,step5,practice
1.0,0.5837,step5,practice
1.0,1.1548,step5,test
1.0,0.507,step5,test
1.0,0.6173,step5,test
1.0,0.3551,step5,test
1.0,0.4348,step5,test
1.0,0.5002,step5,test
0.0,0.7494,step5,test
1.0,0.4929,step5,test
1.0,0.4858,step5,test
1.0,0.6737,step5,test
1.0,0.7505,step5,test
1.0,0.708,step5,test
1.0,0.9532,step5,test
1.0,0.6006,step5,test
1.0,0.7015,step5,test
1.0,0.8242,step5,test
1.0,0.4999,step5,test
1.0,0.5944,step5,test
1.0,0.534,step5,test
1.0,0.6349,step5,test
1.0,0.6355,step5,test
1.0,0.5573,step5,test
1.0,0.533,step5,test
1.0,0.9339,step5,test
1.0,0.6528,step5,test
1.0,0.4835,step5,test
1.0,0.7721,step5,test
1.0,0.5718,step5,test
1.0,0.5875,step5,test
1.0,0.5084,step5,test
1.0,0.6169,step5,test
1.0,0.5092,step5,test
1.0,0.6931,step5,test
1.0,0.5761,step5,test
0.0,0.4668,step5,test
1.0,0.8218,step5,test
1.0,1.0939,step5,test
1.0,0.5524,step5,test
1.0,0.5714,step5,test
1.0,0.7826,step5,test
