angle,corr,rt,trial_type
0.0,1.0,1.0091,Practice
50.0,1.0,2.0711,Practice
0.0,0.0,0.4277,Practice
150.0,1.0,0.7701,Practice
150.0,1.0,0.4823,Practice
150.0,0.0,0.4964,Practice
0.0,1.0,0.9165,Practice
100.0,0.0,0.1046,Practice
50.0,1.0,0.2322,Practice
100.0,0.0,0.0888,Practice
50.0,1.0,0.2043,Practice
50.0,1.0,0.0991,Practice
100.0,1.0,0.1756,Practice
50.0,0.0,0.1456,Practice
150.0,1.0,0.1239,Practice
0.0,1.0,0.3653,Practice
150.0,0.0,0.154,Practice
0.0,1.0,0.0185,Practice
0.0,0.0,0.001,Practice
100.0,1.0,0.2237,Practice
50.0,0.0,0.0488,Practice
150.0,1.0,0.0479,Practice
100.0,0.0,0.0665,Practice
100.0,1.0,0.0211,Practice
0.0,1.0,1.4168,Exp
50.0,1.0,1.7697,Exp
0.0,1.0,1.319,Exp
150.0,1.0,1.9187,Exp
150.0,1.0,3.5714,Exp
50.0,1.0,1.9658,Exp
100.0,1.0,2.6473,Exp
100.0,0.0,2.5466,Exp
0.0,1.0,0.8786,Exp
150.0,1.0,1.5464,Exp
100.0,1.0,2.5115,Exp
0.0,1.0,1.3153,Exp
50.0,1.0,1.9945,Exp
150.0,1.0,2.6146,Exp
150.0,1.0,3.0101,Exp
100.0,1.0,2.929,Exp
0.0,1.0,1.2998,Exp
100.0,1.0,1.7786,Exp
0.0,1.0,1.2647,Exp
0.0,1.0,1.4318,Exp
50.0,1.0,2.5292,Exp
100.0,1.0,2.4136,Exp
100.0,1.0,1.5956,Exp
150.0,1.0,1.2687,Exp
150.0,1.0,1.4051,Exp
0.0,0.0,0.8647,Exp
100.0,1.0,1.4298,Exp
50.0,1.0,1.2126,Exp
0.0,1.0,0.9699,Exp
50.0,1.0,1.2845,Exp
100.0,1.0,1.4291,Exp
50.0,1.0,1.3008,Exp
0.0,1.0,1.2028,Exp
100.0,1.0,1.1972,Exp
100.0,1.0,1.1518,Exp
100.0,0.0,1.654,Exp
100.0,1.0,2.4661,Exp
0.0,1.0,1.6815,Exp
50.0,1.0,0.9826,Exp
150.0,1.0,1.4821,Exp
100.0,1.0,1.787,Exp
100.0,1.0,1.4993,Exp
100.0,1.0,3.9581,Exp
150.0,1.0,6.4294,Exp
0.0,1.0,1.0143,Exp
0.0,1.0,1.3944,Exp
0.0,1.0,0.7814,Exp
0.0,1.0,1.1202,Exp
50.0,1.0,1.3485,Exp
100.0,0.0,1.4131,Exp
150.0,0.0,1.7969,Exp
150.0,0.0,1.0312,Exp
150.0,0.0,0.8804,Exp
150.0,0.0,2.2841,Exp
50.0,1.0,1.0879,Exp
0.0,1.0,1.189,Exp
150.0,0.0,1.8307,Exp
150.0,1.0,2.246,Exp
150.0,1.0,1.7291,Exp
0.0,1.0,1.0642,Exp
0.0,1.0,1.3496,Exp
50.0,0.0,1.2015,Exp
100.0,1.0,1.1838,Exp
150.0,0.0,1.2216,Exp
150.0,1.0,1.0972,Exp
50.0,1.0,0.8879,Exp
100.0,1.0,2.5619,Exp
0.0,1.0,1.0014,Exp
50.0,1.0,1.1647,Exp
50.0,1.0,1.0132,Exp
0.0,1.0,0.7975,Exp
100.0,1.0,1.3802,Exp
50.0,1.0,4.7602,Exp
50.0,1.0,1.7043,Exp
0.0,1.0,1.015,Exp
100.0,1.0,1.6152,Exp
50.0,1.0,1.3534,Exp
100.0,1.0,1.068,Exp
150.0,0.0,1.417,Exp
150.0,0.0,1.5819,Exp
100.0,0.0,1.6479,Exp
150.0,1.0,3.9423,Exp
50.0,1.0,2.199,Exp
50.0,1.0,0.9907,Exp
150.0,1.0,1.6518,Exp
50.0,1.0,1.6034,Exp
50.0,1.0,1.0317,Exp
50.0,1.0,0.804,Exp
150.0,1.0,3.429,Exp
50.0,1.0,2.0335,Exp
0.0,1.0,1.0126,Exp
0.0,1.0,1.3984,Exp
50.0,1.0,1.7704,Exp
150.0,0.0,2.4315,Exp
100.0,1.0,3.2301,Exp
0.0,1.0,1.1347,Exp
