angle,corr,rt,trial_type
0.0,1.0,1.672515,Practice
100.0,1.0,1.061715,Practice
0.0,1.0,1.11164,Practice
50.0,1.0,2.46377,Practice
50.0,1.0,1.52965,Practice
150.0,1.0,4.04595,Practice
150.0,1.0,5.31333,Practice
50.0,1.0,1.715635,Practice
100.0,1.0,2.64938,Practice
50.0,1.0,2.38009,Practice
100.0,1.0,2.68116,Practice
150.0,1.0,5.950895,Practice
100.0,1.0,4.96742,Practice
50.0,1.0,2.31336,Practice
150.0,1.0,2.79523,Practice
150.0,1.0,3.24761,Practice
0.0,1.0,3.03555,Practice
100.0,0.0,3.913865,Practice
0.0,1.0,2.44966,Practice
0.0,1.0,1.367925,Practice
100.0,1.0,2.21349,Practice
50.0,1.0,2.929785,Practice
0.0,1.0,1.46344,Practice
150.0,1.0,2.384905,Practice
150.0,1.0,2.16209,Exp
0.0,1.0,1.028115,Exp
150.0,1.0,2.67751,Exp
0.0,0.0,1.062275,Exp
0.0,1.0,0.92798,Exp
100.0,1.0,2.932225,Exp
0.0,1.0,0.92898,Exp
50.0,1.0,1.4692,Exp
100.0,1.0,4.887495,Exp
50.0,0.0,2.00395,Exp
100.0,1.0,2.896515,Exp
100.0,1.0,2.66284,Exp
0.0,1.0,0.995525,Exp
50.0,1.0,2.94596,Exp
50.0,1.0,1.53209,Exp
50.0,1.0,1.296115,Exp
150.0,1.0,3.437475,Exp
150.0,0.0,3.5515,Exp
50.0,1.0,1.261575,Exp
100.0,1.0,3.264725,Exp
150.0,1.0,3.984595,Exp
0.0,1.0,1.101455,Exp
150.0,1.0,3.5132,Exp
0.0,1.0,1.1446,Exp
50.0,1.0,2.779905,Exp
50.0,1.0,2.50527,Exp
100.0,0.0,,Exp
0.0,1.0,1.3377,Exp
50.0,1.0,1.034115,Exp
0.0,1.0,0.88102,Exp
150.0,0.0,3.615185,Exp
100.0,1.0,3.712715,Exp
50.0,1.0,3.16155,Exp
0.0,1.0,1.681395,Exp
50.0,1.0,1.67178,Exp
0.0,1.0,1.77926,Exp
50.0,1.0,1.449995,Exp
0.0,1.0,1.446835,Exp
100.0,1.0,2.55252,Exp
150.0,0.0,2.731435,Exp
50.0,1.0,2.62914,Exp
100.0,1.0,2.185595,Exp
100.0,1.0,3.663025,Exp
50.0,1.0,1.44651,Exp
50.0,1.0,1.996065,Exp
150.0,1.0,2.451615,Exp
50.0,1.0,1.847205,Exp
50.0,1.0,1.38603,Exp
150.0,1.0,1.83731,Exp
0.0,1.0,1.680745,Exp
100.0,1.0,3.963195,Exp
100.0,0.0,2.42988,Exp
150.0,1.0,3.945395,Exp
100.0,1.0,3.21542,Exp
150.0,1.0,2.36549,Exp
50.0,1.0,1.471125,Exp
150.0,1.0,4.636065,Exp
150.0,0.0,4.112625,Exp
150.0,1.0,3.612825,Exp
100.0,1.0,2.446755,Exp
0.0,1.0,1.296115,Exp
0.0,1.0,1.563325,Exp
150.0,0.0,1.06326,Exp
50.0,1.0,1.06237,Exp
150.0,1.0,2.57939,Exp
0.0,1.0,1.095115,Exp
100.0,0.0,5.08136,Exp
0.0,1.0,1.26214,Exp
0.0,1.0,1.178815,Exp
100.0,0.0,3.08331,Exp
50.0,1.0,2.312815,Exp
50.0,1.0,1.286805,Exp
150.0,0.0,1.00078,Exp
50.0,1.0,1.40213,Exp
100.0,0.0,5.59996,Exp
150.0,1.0,2.578515,Exp
150.0,1.0,2.435075,Exp
150.0,1.0,4.26747,Exp
0.0,1.0,1.07815,Exp
100.0,1.0,1.368365,Exp
0.0,1.0,1.712755,Exp
0.0,1.0,0.928735,Exp
150.0,1.0,3.401375,Exp
150.0,1.0,2.429985,Exp
150.0,1.0,2.344605,Exp
50.0,1.0,1.895655,Exp
100.0,1.0,3.11989,Exp
100.0,1.0,4.069035,Exp
100.0,1.0,2.44537,Exp
0.0,1.0,0.89491,Exp
100.0,1.0,2.417565,Exp
50.0,1.0,1.496785,Exp
100.0,1.0,3.395055,Exp
100.0,0.0,1.65253,Exp
0.0,1.0,1.23516,Exp
0.0,1.0,1.615205,Exp
