rt,corr,trial_type
0.5353,1.0,incongruent
0.7793,1.0,congruent
0.651,1.0,congruent
0.6238,1.0,congruent
0.8097,1.0,incongruent
0.7555,0.0,congruent
0.7363,1.0,incongruent
0.5892,1.0,congruent
0.8086,1.0,congruent
1.2805,1.0,congruent
1.6706,1.0,incongruent
1.3677,1.0,incongruent
1.1337,1.0,congruent
0.5927,1.0,congruent
0.6672,1.0,incongruent
0.8859,1.0,congruent
0.4896,1.0,incongruent
1.1604,1.0,incongruent
1.0365,0.0,congruent
2.4212,1.0,incongruent
0.8627,1.0,incongruent
1.0339,0.0,incongruent
0.8175,1.0,congruent
1.034,1.0,incongruent
1.7939,1.0,congruent
2.4851,1.0,congruent
1.8523,1.0,incongruent
1.5007,1.0,congruent
0.8498,1.0,incongruent
0.922,1.0,congruent
0.601,1.0,incongruent
1.2507,1.0,congruent
0.9628,1.0,congruent
1.0185,1.0,congruent
1.4091,1.0,incongruent
3.5783,1.0,incongruent
0.7512,1.0,congruent
1.8673,1.0,congruent
1.0577,1.0,congruent
1.7049,0.0,incongruent
2.7032,1.0,incongruent
1.3098,1.0,congruent
2.7884,1.0,incongruent
1.2226,1.0,incongruent
1.1196,1.0,incongruent
3.783,1.0,incongruent
2.706,1.0,incongruent
0.6384,1.0,congruent
0.536,1.0,incongruent
0.5392,1.0,congruent
1.0092,1.0,congruent
1.1172,1.0,incongruent
2.312,1.0,incongruent
2.6953,1.0,incongruent
1.3402,1.0,congruent
1.0967,1.0,incongruent
0.7689,1.0,incongruent
0.988,1.0,congruent
0.784,1.0,incongruent
0.4339,1.0,congruent
2.1792,1.0,incongruent
0.9418,1.0,incongruent
1.3719,1.0,congruent
0.5488,1.0,congruent
1.3624,1.0,congruent
0.8308,1.0,congruent
1.6175,1.0,incongruent
0.5227,1.0,congruent
2.0472,1.0,incongruent
0.96,1.0,incongruent
1.8134,1.0,congruent
0.3742,1.0,congruent
0.6509,1.0,incongruent
1.1467,1.0,congruent
0.6688,1.0,congruent
2.1022,1.0,congruent
2.8194,1.0,incongruent
0.7576,1.0,congruent
1.3621,1.0,congruent
0.7586,1.0,congruent
3.1381,1.0,incongruent
1.0858,1.0,incongruent
1.2935,1.0,congruent
1.2054,1.0,incongruent
0.8866,1.0,congruent
1.4754,1.0,incongruent
2.2434,1.0,incongruent
1.151,1.0,incongruent
1.6571,1.0,congruent
1.0013,1.0,incongruent
1.7223,1.0,incongruent
0.5445,1.0,congruent
1.3845,1.0,incongruent
0.9343,1.0,congruent
0.43,1.0,congruent
1.7034,1.0,incongruent
0.7899,1.0,congruent
1.4716,1.0,congruent
1.6003,1.0,incongruent
1.9366,1.0,incongruent
0.7583,1.0,incongruent
1.8913,1.0,congruent
1.2087,1.0,incongruent
0.5224,1.0,congruent
2.2796,1.0,incongruent
0.5742,0.0,incongruent
1.035,1.0,incongruent
0.5166,1.0,congruent
0.6193,1.0,congruent
0.3631,1.0,congruent
0.5598,1.0,congruent
1.0177,1.0,congruent
1.3883,1.0,incongruent
0.7921,1.0,congruent
0.5072,1.0,congruent
0.3851,0.0,congruent
0.8922,1.0,incongruent
0.7948,1.0,incongruent
0.7343,1.0,incongruent
1.2578,1.0,incongruent
