rt,corr,trial_type
1.17,1.0,congruent
0.822,1.0,incongruent
0.676,1.0,congruent
0.577,1.0,congruent
0.763,1.0,incongruent
0.662,1.0,congruent
0.612,1.0,congruent
0.904,1.0,congruent
0.622,1.0,congruent
0.995,1.0,incongruent
0.523,1.0,congruent
0.695,1.0,congruent
0.735,1.0,congruent
0.595,1.0,incongruent
0.628,1.0,incongruent
0.664,1.0,incongruent
0.739,1.0,incongruent
0.787,1.0,congruent
0.56,1.0,congruent
1.412,1.0,incongruent
1.027,1.0,incongruent
0.672,1.0,incongruent
0.911,1.0,incongruent
0.886,1.0,incongruent
0.898,1.0,congruent
1.062,1.0,incongruent
0.722,1.0,congruent
0.612,1.0,incongruent
0.501,1.0,congruent
1.006,1.0,congruent
0.838,1.0,congruent
0.92,1.0,incongruent
1.261,0.0,incongruent
1.297,1.0,incongruent
0.711,1.0,congruent
0.643,1.0,incongruent
0.698,1.0,congruent
0.727,1.0,congruent
0.727,0.0,incongruent
2.077,1.0,incongruent
0.796,1.0,congruent
1.453,0.0,incongruent
1.409,1.0,incongruent
0.987,1.0,incongruent
0.96,1.0,incongruent
0.631,1.0,congruent
1.395,1.0,congruent
0.511,1.0,congruent
0.962,1.0,congruent
0.61,1.0,congruent
0.53,1.0,congruent
1.132,1.0,congruent
0.553,1.0,congruent
0.979,1.0,incongruent
0.636,1.0,incongruent
0.974,1.0,incongruent
2.423,1.0,congruent
0.471,1.0,congruent
0.672,1.0,incongruent
0.706,1.0,incongruent
0.737,1.0,incongruent
0.878,1.0,incongruent
1.291,1.0,incongruent
0.761,1.0,congruent
0.661,1.0,congruent
1.581,1.0,congruent
1.077,1.0,incongruent
0.88,1.0,incongruent
0.828,1.0,congruent
1.019,1.0,congruent
0.814,1.0,incongruent
0.729,1.0,incongruent
1.445,1.0,congruent
0.91,1.0,incongruent
0.561,1.0,congruent
0.74,1.0,incongruent
0.772,1.0,incongruent
0.91,1.0,incongruent
0.789,1.0,congruent
0.744,1.0,incongruent
0.53,1.0,incongruent
0.579,1.0,congruent
0.806,1.0,congruent
0.728,1.0,incongruent
0.461,1.0,congruent
0.779,1.0,congruent
0.49,1.0,congruent
0.598,1.0,congruent
0.496,0.0,incongruent
1.113,1.0,incongruent
0.58,1.0,congruent
0.463,1.0,congruent
0.39,1.0,incongruent
1.113,1.0,incongruent
0.561,1.0,congruent
0.858,1.0,incongruent
1.064,1.0,incongruent
1.088,1.0,incongruent
0.728,1.0,congruent
0.688,1.0,incongruent
0.681,1.0,congruent
0.788,1.0,incongruent
0.96,1.0,congruent
0.621,1.0,congruent
1.095,1.0,incongruent
0.604,1.0,congruent
1.256,1.0,incongruent
0.707,1.0,congruent
0.57,1.0,congruent
0.682,1.0,congruent
1.329,1.0,incongruent
0.712,1.0,congruent
0.712,1.0,congruent
1.211,1.0,incongruent
1.054,1.0,incongruent
2.296,1.0,incongruent
1.31,1.0,congruent
0.722,1.0,incongruent
0.627,1.0,incongruent
0.644,1.0,congruent
